YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,ANNUAL_ROLL10,IS_ANOMALY_YEAR
2004,25.65,20.76,28.1,28.02,23.3,25.565,0
2005,25.58,20.8,27.7,28.25,23.1,25.576999999999998,0
2006,25.72,21.39,27.69,28.02,23.59,25.607,0
2007,25.67,20.92,27.84,28.11,23.42,25.639,0
2008,25.55,20.26,27.7,27.85,23.85,25.622000000000003,0
2009,26.05,21.59,28.12,28.55,23.61,25.669999999999998,1
2010,26.03,21.09,28.89,28.2,23.58,25.72,1
2011,25.62,20.52,27.67,28.06,23.71,25.721999999999998,0
2012,25.6,20.36,27.82,28.26,23.33,25.708000000000006,0
2013,25.68,20.93,28.04,28.03,23.36,25.714999999999996,0
2014,25.73,20.53,27.62,28.57,23.54,25.723000000000003,0
2015,25.92,21.05,27.63,28.46,24.08,25.756999999999998,1
2016,26.2,21.8,28.64,28.35,23.84,25.805,1
2017,26.04,21.37,28.2,28.39,23.84,25.842000000000002,1
2018,25.9,21.24,28.16,28.28,23.55,25.877,1
2019,25.86,20.71,28.0,28.6,23.49,25.857999999999997,1
2020,25.78,20.79,27.58,28.45,23.75,25.833,1
2021,25.93,21.43,27.97,28.36,23.66,25.863999999999997,1
